企業名,証券コード,EDINETコード,docID,帳簿価額（元単位）,時価（元単位）,含み益（元単位）,元単位,ソースファイル,注記,帳簿価額_百万円,時価_百万円,含み益_百万円
株式会社イーグランド,3294,E30124,S100W5U4,959758.0,2298250.0,1338492.0,千円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E30124-000_2025-03-31_01_2025-06-25_ixbrl.htm,,959.758,2298.25,1338.492
株式会社コーセーアールイー,3246,E04075,S100VNO4,280818.0,1609622.0,1328804.0,千円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E04075-000_2025-01-31_01_2025-04-25_ixbrl.htm,,280.818,1609.622,1328.804
株式会社中央倉庫,9319,E04304,S100W0X0,6124784.0,7447126.0,1322342.0,千円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E04304-000_2025-03-31_01_2025-06-20_ixbrl.htm,,6124.784000000001,7447.126,1322.342
コスモエネルギーホールディングス株式会社,5021,E31632,S100W3P9,25020.0,26322.0,1302.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E31632-000_2025-03-31_01_2025-06-25_ixbrl.htm,,25020.0,26322.0,1302.0
ラサ商事株式会社,3023,E02547,S100W22B,1980.0,3260.0,1280.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E02547-000_2025-03-31_01_2025-06-24_ixbrl.htm,,1980.0,3260.0,1280.0
技研ホールディングス株式会社,1443,E33535,S100W3WQ,2744885.0,4024598.0,1279713.0,千円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E33535-000_2025-03-31_01_2025-06-25_ixbrl.htm,,2744.885,4024.598,1279.713
株式会社ＵＥＸ,9888,E02728,S100VZPY,16683706.0,17952055.0,1268349.0,千円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E02728-000_2025-03-31_01_2025-06-20_ixbrl.htm,,16683.706000000002,17952.055,1268.349
ｓａｎｔｅｃ　Ｈｏｌｄｉｎｇｓ株式会社,6777,E01870,S100VZX9,242290.0,1497657.0,1255367.0,千円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E01870-000_2025-03-31_01_2025-06-19_ixbrl.htm,,242.29,1497.657,1255.367
東京窯業株式会社,5363,E01149,S100W66G,849717.0,2104644.0,1254927.0,千円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E01149-000_2025-03-31_01_2025-06-27_ixbrl.htm,,849.717,2104.6440000000002,1254.9270000000001
穴吹興産株式会社,8928,E04025,S100WQZC,3120413.0,4370007.0,1249594.0,千円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E04025-000_2025-06-30_01_2025-09-25_ixbrl.htm,,3120.413,4370.0070000000005,1249.594
イサム塗料株式会社,4624,E00910,S100W7E9,778786.0,2020933.0,1242147.0,千円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E00910-000_2025-03-31_01_2025-06-27_ixbrl.htm,,778.7860000000001,2020.933,1242.147
新明和工業株式会社,7224,E02252,S100W0XQ,3623.0,4864.0,1241.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E02252-000_2025-03-31_01_2025-06-24_ixbrl.htm,,3623.0,4864.0,1241.0
ＳＣＳＫ株式会社,9719,E04830,S100W3BI,21.0,1261.0,1240.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E04830-000_2025-03-31_01_2025-06-24_ixbrl.htm,,21.0,1261.0,1240.0
大同メタル工業株式会社,7245,E02175,S100W24A,927.0,2151.0,1224.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E02175-000_2025-03-31_01_2025-06-26_ixbrl.htm,,927.0,2151.0,1224.0
福山通運株式会社,9075,E04334,S100W1TS,286352.0,287563.0,1211.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E04334-000_2025-03-31_01_2025-06-23_ixbrl.htm,,286352.0,287563.0,1211.0
株式会社キングジム,7962,E02398,S100WOZY,439697.0,1646480.0,1206783.0,千円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E02398-000_2025-06-20_01_2025-09-17_ixbrl.htm,,439.697,1646.48,1206.7830000000001
